transaction_id,account_id,transaction_date,amount_ngn,merchant_id,merchant_name,merchant_category,transaction_channel,transaction_location,account_home_city,is_fraud,fraud_flag_reason
TXN0005346,ACC00103,2024-08-11 13:06:23,117721.91,MRT008,ATM Withdrawal UBA,ATM,POS,Lagos,Lagos,0,
TXN0003359,ACC00063,2024-10-18 19:26:51,83687.7,MRT005,Jumia Online Store,E-commerce,ATM,Lagos,Lagos,0,
TXN0005972,ACC00113,2024-07-25 17:52:35,2223.49,MRT006,Chicken Republic VI,Food & Dining,ATM,Kano,Kano,0,
TXN0005176,ACC00100,2024-01-18 17:05:21,91930.41,MRT009,Bolt Ride Hailing,Transport,POS,Abuja,Abuja,0,
TXN0000644,ACC00012,2024-12-08 14:12:47,24267.13,MRT005,Jumia Online Store,E-commerce,POS,Kano,Kano,0,
TXN0003663,ACC00069,2024-06-02 21:16:50,99439.22,MRT004,Netflix Subscription,Streaming,POS,Abuja,Abuja,0,
TXN0004531,ACC00087,2024-07-16 01:18:21,148981.98,MRT006,Chicken Republic VI,Food & Dining,USSD,Kano,Kano,0,
TXN0001296,ACC00025,2024-11-03 22:24:09,26348.92,MRT008,ATM Withdrawal UBA,ATM,USSD,Port Harcourt,Port Harcourt,0,
TXN0002450,ACC00045,2024-12-17 07:39:53,99044.06,MRT005,Jumia Online Store,E-commerce,ATM,Lagos,Lagos,0,
TXN0002770,ACC00053,2024-10-15 01:06:55,139024.19,MRT005,Jumia Online Store,E-commerce,Web,Kano,Kano,0,
TXN0002531,ACC00048,2024-03-30 02:00:56,20278.22,MRT002,POS Terminal Lekki,POS,Mobile App,Kano,Kano,0,
TXN0000762,ACC00015,2024-05-12 08:06:16,137857.73,MRT003,MTN Airtime Top-up,Telecom,POS,Abuja,Abuja,0,
TXN0005113,ACC00098,2024-01-23 21:09:01,141474.19,MRT006,Chicken Republic VI,Food & Dining,Mobile App,Ibadan,Ibadan,0,
TXN0003785,ACC00071,2024-07-25 01:26:22,101590.32,MRT001,Shoprite Ikeja,Grocery,Mobile App,Lagos,Lagos,0,
TXN0003048,ACC00058,2024-01-10 14:10:13,91241.53,MRT006,Chicken Republic VI,Food & Dining,POS,Lagos,Lagos,0,
TXN0004294,ACC00081,2024-01-22 07:49:34,99891.14,MRT005,Jumia Online Store,E-commerce,Web,Abuja,Abuja,0,
TXN0002889,ACC00055,2024-01-20 09:07:14,21088.96,MRT005,Jumia Online Store,E-commerce,POS,Lagos,Lagos,0,
TXN0000434,ACC00008,2024-06-29 17:47:44,200000,MRT014,FX Bureau Lagos,FX,Mobile App,Ibadan,Ibadan,1,Suspicious round amount: possible structuring
TXN0001418,ACC00028,2024-11-06 12:28:47,149848.56,MRT010,Konga Electronics,E-commerce,ATM,Ibadan,Ibadan,0,
TXN0000885,ACC00017,2024-09-03 00:31:54,60807.33,MRT007,EKEDC Electricity,Utilities,ATM,Abuja,Abuja,0,
TXN0002883,ACC00055,2024-12-26 02:26:17,70214.46,MRT003,MTN Airtime Top-up,Telecom,Web,Lagos,Lagos,0,
TXN0000525,ACC00010,2024-09-22 19:20:17,134947.09,MRT005,Jumia Online Store,E-commerce,USSD,Ibadan,Ibadan,0,
TXN0001363,ACC00026,2024-12-25 09:40:48,142554.61,MRT005,Jumia Online Store,E-commerce,Web,Ibadan,Ibadan,0,
TXN0000633,ACC00011,2024-09-26 19:06:25,68477.0,MRT006,Chicken Republic VI,Food & Dining,ATM,Abuja,Abuja,0,
TXN0005550,ACC00107,2024-03-03 02:55:10,111291.6,MRT010,Konga Electronics,E-commerce,ATM,Ibadan,Ibadan,0,
TXN0001628,ACC00032,2024-01-24 03:59:39,20906.97,MRT005,Jumia Online Store,E-commerce,ATM,Port Harcourt,Port Harcourt,0,
TXN0002723,ACC00052,2024-06-09 19:15:37,53083.48,MRT007,EKEDC Electricity,Utilities,USSD,Port Harcourt,Port Harcourt,0,
TXN0005379,ACC00104,2024-11-28 17:41:32,142491.8,MRT009,Bolt Ride Hailing,Transport,Mobile App,Kano,Kano,0,
TXN0000486,ACC00009,2024-03-25 06:44:26,31728.92,MRT008,ATM Withdrawal UBA,ATM,POS,Lagos,Lagos,0,
TXN0001605,ACC00031,2024-07-22 03:31:22,62098.68,MRT008,ATM Withdrawal UBA,ATM,Web,Ibadan,Ibadan,0,
TXN0005119,ACC00098,2024-02-22 21:08:35,7055.6,MRT004,Netflix Subscription,Streaming,ATM,Ibadan,Ibadan,0,
TXN0002697,ACC00052,2024-03-01 11:36:44,22254.31,MRT008,ATM Withdrawal UBA,ATM,Web,Port Harcourt,Port Harcourt,0,
TXN0001446,ACC00028,2024-02-14 23:40:10,46991.71,MRT001,Shoprite Ikeja,Grocery,Mobile App,Ibadan,Ibadan,0,
TXN0004455,ACC00085,2024-03-01 03:24:30,21654.39,MRT002,POS Terminal Lekki,POS,ATM,Lagos,Lagos,0,
TXN0002067,ACC00038,2024-09-01 17:02:36,84376.13,MRT005,Jumia Online Store,E-commerce,Mobile App,Abuja,Abuja,0,
TXN0001624,ACC00032,2024-06-18 06:33:24,32816.69,MRT003,MTN Airtime Top-up,Telecom,USSD,Port Harcourt,Port Harcourt,0,
TXN0003590,ACC00068,2024-09-18 01:42:46,114207.4,MRT005,Jumia Online Store,E-commerce,Mobile App,Abuja,Abuja,0,
TXN0004540,ACC00087,2024-04-24 18:42:09,80522.06,MRT003,MTN Airtime Top-up,Telecom,POS,Kano,Kano,0,
TXN0005050,ACC00097,2024-03-09 05:54:51,2933.48,MRT001,Shoprite Ikeja,Grocery,USSD,Kano,Kano,0,
TXN0000924,ACC00018,2024-02-13 21:45:48,104577.4,MRT003,MTN Airtime Top-up,Telecom,Mobile App,Abuja,Abuja,0,
TXN0006042,ACC00115,2024-07-01 12:32:47,19901.88,MRT003,MTN Airtime Top-up,Telecom,Web,Port Harcourt,Port Harcourt,0,
TXN0005476,ACC00106,2024-04-12 23:07:36,31582.89,MRT007,EKEDC Electricity,Utilities,Mobile App,Ibadan,Ibadan,0,
TXN0002423,ACC00045,2024-09-20 20:53:19,138934.81,MRT003,MTN Airtime Top-up,Telecom,Mobile App,Lagos,Lagos,0,
TXN0001816,ACC00034,2024-10-05 17:30:45,14662.68,MRT010,Konga Electronics,E-commerce,POS,Abuja,Abuja,0,
TXN0000227,ACC00005,2024-04-09 09:47:48,26438.1,MRT004,Netflix Subscription,Streaming,Web,Kano,Kano,0,
TXN0000515,ACC00010,2024-07-23 10:55:31,122374.55,MRT005,Jumia Online Store,E-commerce,POS,Ibadan,Ibadan,0,
TXN0001322,ACC00026,2024-01-06 08:00:12,104222.39,MRT006,Chicken Republic VI,Food & Dining,Mobile App,Ibadan,Ibadan,0,
TXN0003472,ACC00066,2024-02-13 02:52:55,20575.57,MRT008,ATM Withdrawal UBA,ATM,Mobile App,Lagos,Lagos,0,
TXN0001030,ACC00020,2024-01-05 07:55:38,131277.66,MRT009,Bolt Ride Hailing,Transport,Web,Port Harcourt,Port Harcourt,0,
TXN0002286,ACC00042,2024-12-30 15:23:55,18560.19,MRT007,EKEDC Electricity,Utilities,Web,Abuja,Abuja,0,
TXN0004856,ACC00093,2024-10-20 06:00:19,119367.96,MRT002,POS Terminal Lekki,POS,Mobile App,Ibadan,Ibadan,0,
TXN0003620,ACC00068,2024-04-17 10:24:05,117664.62,MRT008,ATM Withdrawal UBA,ATM,POS,Abuja,Abuja,0,
TXN0002279,ACC00042,2024-05-25 11:56:30,30397.86,MRT004,Netflix Subscription,Streaming,Mobile App,Abuja,Abuja,0,
TXN0004919,ACC00095,2024-07-25 21:09:21,34578.83,MRT009,Bolt Ride Hailing,Transport,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0004117,ACC00079,2024-03-26 02:30:09,96928.84,MRT010,Konga Electronics,E-commerce,USSD,Kano,Kano,0,
TXN0006249,ACC00120,2024-01-08 06:53:03,92371.22,MRT004,Netflix Subscription,Streaming,Mobile App,Ibadan,Ibadan,0,
TXN0005997,ACC00114,2024-04-29 11:02:07,46432.16,MRT001,Shoprite Ikeja,Grocery,ATM,Lagos,Lagos,0,
TXN0005800,ACC00110,2024-11-28 03:36:14,81932.99,MRT003,MTN Airtime Top-up,Telecom,ATM,Lagos,Lagos,0,
TXN0003167,ACC00059,2024-10-26 12:09:32,67339.25,MRT004,Netflix Subscription,Streaming,ATM,Lagos,Lagos,0,
TXN0002147,ACC00040,2024-01-22 06:40:08,91805.43,MRT005,Jumia Online Store,E-commerce,ATM,Abuja,Abuja,0,
TXN0001977,ACC00037,2024-12-30 15:46:59,67524.65,MRT006,Chicken Republic VI,Food & Dining,ATM,Port Harcourt,Port Harcourt,0,
TXN0001479,ACC00029,2024-10-14 03:24:01,125593.85,MRT010,Konga Electronics,E-commerce,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0001881,ACC00035,2024-06-15 13:40:08,39393.59,MRT010,Konga Electronics,E-commerce,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0001928,ACC00036,2024-05-28 02:49:16,60129.35,MRT002,POS Terminal Lekki,POS,Web,Ibadan,Ibadan,0,
TXN0000082,ACC00002,2024-08-30 21:13:55,114118.59,MRT008,ATM Withdrawal UBA,ATM,Web,Lagos,Lagos,0,
TXN0002588,ACC00050,2024-02-08 22:14:48,21025.05,MRT009,Bolt Ride Hailing,Transport,Mobile App,Kano,Kano,0,
TXN0003513,ACC00067,2024-03-04 06:10:46,18493.57,MRT004,Netflix Subscription,Streaming,ATM,Lagos,Lagos,0,
TXN0001444,ACC00028,2024-11-15 06:53:10,101669.23,MRT009,Bolt Ride Hailing,Transport,Web,Ibadan,Ibadan,0,
TXN0000142,ACC00003,2024-05-22 01:16:14,118706.95,MRT002,POS Terminal Lekki,POS,Mobile App,Kano,Kano,0,
TXN0001475,ACC00029,2024-07-31 19:15:18,146096.81,MRT003,MTN Airtime Top-up,Telecom,ATM,Port Harcourt,Port Harcourt,0,
TXN0004317,ACC00082,2024-03-06 18:38:20,36168.69,MRT009,Bolt Ride Hailing,Transport,ATM,Abuja,Abuja,0,
TXN0000866,ACC00017,2024-08-14 10:10:29,122494.2,MRT010,Konga Electronics,E-commerce,POS,Abuja,Abuja,0,
TXN0001703,ACC00033,2024-12-05 13:04:58,13596.0,MRT009,Bolt Ride Hailing,Transport,ATM,Lagos,Lagos,0,
TXN0005494,ACC00106,2024-01-09 12:44:35,29991.65,MRT004,Netflix Subscription,Streaming,ATM,Ibadan,Ibadan,0,
TXN0004094,ACC00078,2024-01-07 18:33:28,14131.07,MRT003,MTN Airtime Top-up,Telecom,USSD,Abuja,Abuja,0,
TXN0004181,ACC00080,2024-08-27 12:58:38,127663.78,MRT006,Chicken Republic VI,Food & Dining,POS,Abuja,Abuja,0,
TXN0005922,ACC00112,2024-10-25 07:22:41,149891.21,MRT010,Konga Electronics,E-commerce,Mobile App,Abuja,Abuja,0,
TXN0004963,ACC00095,2024-04-26 22:45:38,45157.65,MRT003,MTN Airtime Top-up,Telecom,USSD,Port Harcourt,Port Harcourt,0,
TXN0005049,ACC00097,2024-01-18 09:23:57,2727.97,MRT002,POS Terminal Lekki,POS,Web,Kano,Kano,0,
TXN0004268,ACC00081,2024-01-30 14:28:32,131046.56,MRT003,MTN Airtime Top-up,Telecom,Mobile App,Abuja,Abuja,0,
TXN0003222,ACC00060,2024-11-28 04:38:52,115726.35,MRT008,ATM Withdrawal UBA,ATM,POS,Port Harcourt,Port Harcourt,0,
TXN0003020,ACC00057,2024-05-12 09:49:55,680467.62,MRT014,FX Bureau Lagos,FX,Web,Dubai,Lagos,1,Foreign transaction: cross-border anomaly
TXN0005872,ACC00111,2024-12-09 13:03:53,98435.35,MRT002,POS Terminal Lekki,POS,ATM,Ibadan,Ibadan,0,
TXN0002292,ACC00043,2024-10-03 17:16:16,118793.34,MRT009,Bolt Ride Hailing,Transport,USSD,Abuja,Abuja,0,
TXN0000238,ACC00005,2024-06-23 15:49:18,97949.7,MRT010,Konga Electronics,E-commerce,POS,Kano,Kano,0,
TXN0004497,ACC00086,2024-11-03 14:44:39,20521.98,MRT006,Chicken Republic VI,Food & Dining,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0001260,ACC00025,2024-08-26 01:56:23,48728.71,MRT005,Jumia Online Store,E-commerce,POS,Port Harcourt,Port Harcourt,0,
TXN0003783,ACC00071,2024-06-30 23:28:47,130270.5,MRT004,Netflix Subscription,Streaming,Web,Lagos,Lagos,0,
TXN0002533,ACC00048,2024-01-07 20:36:56,30346.7,MRT010,Konga Electronics,E-commerce,Mobile App,Kano,Kano,0,
TXN0003387,ACC00064,2024-01-03 16:09:25,102462.53,MRT001,Shoprite Ikeja,Grocery,ATM,Lagos,Lagos,0,
TXN0001285,ACC00025,2024-12-25 16:18:53,54321.28,MRT005,Jumia Online Store,E-commerce,ATM,Port Harcourt,Port Harcourt,0,
TXN0005584,ACC00107,2024-08-19 09:11:47,108770.96,MRT007,EKEDC Electricity,Utilities,Web,Ibadan,Ibadan,0,
TXN0003312,ACC00062,2024-10-15 04:32:49,90743.59,MRT002,POS Terminal Lekki,POS,ATM,Lagos,Lagos,0,
TXN0000929,ACC00019,2024-06-20 03:30:31,9968.74,MRT001,Shoprite Ikeja,Grocery,POS,Kano,Kano,0,
TXN0001449,ACC00028,2024-01-09 17:31:52,113894.83,MRT010,Konga Electronics,E-commerce,Web,Ibadan,Ibadan,0,
TXN0005255,ACC00101,2024-10-25 05:23:40,102726.16,MRT002,POS Terminal Lekki,POS,Web,Kano,Kano,0,
TXN0003241,ACC00061,2024-07-19 12:38:30,141111.5,MRT001,Shoprite Ikeja,Grocery,ATM,Kano,Kano,0,
TXN0000815,ACC00016,2024-05-04 04:16:52,13510.6,MRT002,POS Terminal Lekki,POS,USSD,Ibadan,Ibadan,0,
TXN0004571,ACC00087,2024-06-17 15:29:09,58905.61,MRT010,Konga Electronics,E-commerce,ATM,Kano,Kano,0,
TXN0004038,ACC00077,2024-07-25 00:47:53,45849.95,MRT001,Shoprite Ikeja,Grocery,Web,Ibadan,Ibadan,0,
TXN0004915,ACC00094,2024-02-25 06:42:07,491551.83,MRT013,Wire Transfer INT,Wire Transfer,Web,Nairobi,Abuja,1,Geographic anomaly: transaction far from home city
TXN0004121,ACC00079,2024-01-20 10:38:25,12348.68,MRT005,Jumia Online Store,E-commerce,POS,Kano,Kano,0,
TXN0002914,ACC00056,2024-02-17 03:55:40,101324.74,MRT010,Konga Electronics,E-commerce,Mobile App,Abuja,Abuja,0,
TXN0004368,ACC00082,2024-01-07 09:09:05,15927.27,MRT002,POS Terminal Lekki,POS,Web,Abuja,Abuja,0,
TXN0004008,ACC00076,2024-05-05 09:23:23,83117.55,MRT005,Jumia Online Store,E-commerce,ATM,Port Harcourt,Port Harcourt,0,
TXN0002053,ACC00038,2024-04-27 18:35:19,73145.87,MRT005,Jumia Online Store,E-commerce,Web,Abuja,Abuja,0,
TXN0000087,ACC00002,2024-03-28 06:21:42,69486.46,MRT002,POS Terminal Lekki,POS,Mobile App,Lagos,Lagos,0,
TXN0004824,ACC00092,2024-07-11 18:39:44,137173.88,MRT010,Konga Electronics,E-commerce,ATM,Ibadan,Ibadan,0,
TXN0000787,ACC00016,2024-05-11 05:55:39,147798.78,MRT010,Konga Electronics,E-commerce,ATM,Ibadan,Ibadan,0,
TXN0004682,ACC00089,2024-12-25 17:54:55,137125.12,MRT002,POS Terminal Lekki,POS,USSD,Ibadan,Ibadan,0,
TXN0002860,ACC00055,2024-08-18 16:31:45,145446.46,MRT006,Chicken Republic VI,Food & Dining,USSD,Lagos,Lagos,0,
TXN0005590,ACC00108,2024-12-22 03:24:01,115986.6,MRT010,Konga Electronics,E-commerce,Mobile App,Kano,Kano,0,
TXN0001575,ACC00031,2024-09-08 13:51:51,26904.44,MRT004,Netflix Subscription,Streaming,Mobile App,Ibadan,Ibadan,0,
TXN0001954,ACC00036,2024-04-10 17:00:57,65352.94,MRT002,POS Terminal Lekki,POS,Mobile App,Ibadan,Ibadan,0,
TXN0001377,ACC00027,2024-06-29 00:52:08,14020.9,MRT008,ATM Withdrawal UBA,ATM,USSD,Kano,Kano,0,
TXN0003551,ACC00067,2024-10-22 02:43:18,49527.63,MRT003,MTN Airtime Top-up,Telecom,POS,Lagos,Lagos,0,
TXN0001018,ACC00020,2024-02-03 23:45:14,8613.08,MRT002,POS Terminal Lekki,POS,POS,Port Harcourt,Port Harcourt,0,
TXN0000016,ACC00001,2024-11-08 20:03:53,119535.97,MRT002,POS Terminal Lekki,POS,USSD,Lagos,Lagos,0,
TXN0004488,ACC00086,2024-12-12 08:24:04,2095.46,MRT001,Shoprite Ikeja,Grocery,Web,Port Harcourt,Port Harcourt,0,
TXN0001086,ACC00021,2024-02-03 07:14:02,67655.9,MRT004,Netflix Subscription,Streaming,ATM,Ibadan,Ibadan,0,
TXN0001873,ACC00035,2024-06-24 08:11:27,131089.12,MRT008,ATM Withdrawal UBA,ATM,Web,Port Harcourt,Port Harcourt,0,
TXN0000680,ACC00013,2024-07-27 07:31:07,58914.36,MRT006,Chicken Republic VI,Food & Dining,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0005718,ACC00109,2024-03-27 07:28:42,19159.36,MRT004,Netflix Subscription,Streaming,Web,Port Harcourt,Port Harcourt,0,
TXN0003415,ACC00065,2024-07-06 05:03:17,72857.76,MRT003,MTN Airtime Top-up,Telecom,ATM,Port Harcourt,Port Harcourt,0,
TXN0004173,ACC00079,2024-02-06 04:35:24,57891.49,MRT010,Konga Electronics,E-commerce,ATM,Kano,Kano,0,
TXN0005562,ACC00107,2024-09-07 18:51:01,26267.89,MRT007,EKEDC Electricity,Utilities,USSD,Ibadan,Ibadan,0,
TXN0002599,ACC00050,2024-07-30 12:25:56,15833.63,MRT005,Jumia Online Store,E-commerce,ATM,Kano,Kano,0,
TXN0005433,ACC00105,2024-03-03 13:34:55,62322.06,MRT008,ATM Withdrawal UBA,ATM,Web,Kano,Kano,0,
TXN0003922,ACC00073,2024-08-01 14:39:40,6499.44,MRT002,POS Terminal Lekki,POS,USSD,Lagos,Lagos,0,
TXN0002953,ACC00057,2024-06-20 11:20:36,91176.73,MRT006,Chicken Republic VI,Food & Dining,Mobile App,Lagos,Lagos,0,
TXN0004320,ACC00082,2024-01-24 01:23:02,32045.62,MRT007,EKEDC Electricity,Utilities,ATM,Abuja,Abuja,0,
TXN0000711,ACC00014,2024-04-02 11:52:58,74058.32,MRT007,EKEDC Electricity,Utilities,Mobile App,Lagos,Lagos,0,
TXN0003905,ACC00073,2024-09-08 00:12:59,59632.89,MRT006,Chicken Republic VI,Food & Dining,POS,Lagos,Lagos,0,
TXN0001402,ACC00027,2024-09-13 16:15:49,86056.25,MRT010,Konga Electronics,E-commerce,USSD,Kano,Kano,0,
TXN0000840,ACC00017,2024-01-13 20:14:40,8058.61,MRT008,ATM Withdrawal UBA,ATM,POS,Abuja,Abuja,0,
TXN0000207,ACC00004,2024-10-20 04:34:48,17515.72,MRT009,Bolt Ride Hailing,Transport,ATM,Ibadan,Ibadan,0,
TXN0002796,ACC00054,2024-08-10 21:35:12,102478.72,MRT007,EKEDC Electricity,Utilities,ATM,Ibadan,Ibadan,0,
